name,rank,year_published,mechanics,categories,subdomains,playing_time,mfg_suggested_ages,user_suggested_ages,expansions,languages,honors,mfg_suggested_players,user_suggested_players,count_ratings,avg_ratings,std_deviation,count_views
Warhammer: Invasion,274,2009,"Hand Management, Variable Player Powers","Card Game, Fantasy, Fighting, Mythology","Customizable Games, Strategy Games",45 minutes,13 and up,12 and up,"Warhammer: Invasion   The Eclipse of Hope, Warhammer: Invasion  Arcane Fire, Warhammer: Invasion  Assault on Ulthuan, Warhammer: Invasion  Battle for the Old World",Extensive use of text - massive conversion needed to be playable,"2010 Golden Geek Best 2-Player Board Game Nominee, 2010 Golden Geek Best Card Game Nominee, 2010 JoTa Best 2-Player Board Game Nominee, 2010 JoTa Best Card Game Nominee",2,Best with 2 players,4579,7.33,1.47,624541
Power Grid deluxe: Europe/North America,275,2014,"Auction/Bidding, Route/Network Building","Economic, Industry / Manufacturing",Strategy Games,120 minutes,12 and up,6 and up,Power Grid: The Stock Companies,No necessary in-game text,None,26,Best with 4 players,900,8.26,1.19,115854
Lord of the Rings: The Confrontation,276,2002,"Area Movement, Hand Management, Secret Unit Deployment, Simultaneous Action Selection","Adventure, Bluffing, Deduction, Fantasy",Strategy Games,30 minutes,12 and up,10 and up,Locust Horde (fan expansion for Lord of the Rings: The Confrontation),Moderate in-game text - needs crib sheet or paste ups,"2002 Meeples' Choice Award, 2003 International Gamers Awards - General Strategy, Two-players, 2008 JoTa Best 2-Player Board Game Nominee",2,Best with 2 players,5515,7.24,1.37,344586
Among the Stars,277,2012,"Card Drafting, Simultaneous Action Selection, Tile Placement, Variable Player Powers","Card Game, City Building, Science Fiction",Strategy Games,30 minutes,12 and up,10 and up,"Among the Stars: Ambassadorial Shuttle, Among the Stars: Expanding the Alliance, Among the Stars: Hythian, Among the Stars: Indiegogo Promos",Moderate in-game text - needs crib sheet or paste ups,2015 Origins Awards Best Card Game Nominee,24,Best with 4 players,3676,7.32,1.17,422499
Space Hulk,278,1989,"Action Point Allowance System, Dice Rolling, Grid Movement, Modular Board","Fighting, Miniatures, Science Fiction",Thematic Games,45 minutes,12 and up,10 and up,"Space Hulk Campaigns, Space Hulk: Deathwing Expansion, Space Hulk: Genestealer Expansion",No necessary in-game text,None,24,Best with 2 players,2931,7.47,1.64,520059
Vegas Showdown,279,2005,"Auction/Bidding, Route/Network Building, Tile Placement",Economic,Strategy Games,75 minutes,12 and up,10 and up,None,Moderate in-game text - needs crib sheet or paste ups,"2006 Golden Geek Best Family Board Game Nominee, 2007 Games Magazine Game of the Year Winner",35,Best with 5 players,5079,7.24,1.14,199310
The Duke,280,2013,"Grid Movement, Tile Placement","Abstract Strategy, Medieval",Abstract Games,30 minutes,13 and up,12 and up,"The Duke: Arthurian Legends Expansion, The Duke: Customization Expansion Pack, The Duke: Jester Promo Tile, The Duke: Lancer Promo Tile",No necessary in-game text,"2013 Golden Geek Best 2-Player Board Game Nominee, 2013 Golden Geek Best Abstract Board Game Nominee, 2013 Golden Geek Best Print & Play Board Game Nominee, 2014 Mensa Select Winner",2,Best with 2 players,1599,7.71,1.22,143205
Snowdonia,281,2012,"Card Drafting, Hand Management, Worker Placement",Trains,Strategy Games,3090 minutes,10 and up,10 and up,"Snowdonia: Bayerische Zugspitzbahn, Snowdonia: Britannia Bridge, Snowdonia: Card 31 of 30, Snowdonia: Erweiterung",Moderate in-game text - needs crib sheet or paste ups,"2012 Meeples' Choice Nominee, 2013 International Gamers Award - General Strategy: Multi-player Nominee, 2013 UK Games Expo Best Boardgame Nominee",15,(Not best with any number),2366,7.49,1.24,245018
Escape: The Curse of the Temple,282,2012,"Co-operative Play, Dice Rolling, Grid Movement, Modular Board","Adventure, Dice, Electronic, Exploration",Family Games,10 minutes,8 and up,8 and up,"Escape: Illusions, Escape: Quest, Escape: The Curse of the Temple  Doomed, Escape: The Curse of the Temple  Exchange Chamber and Teleporter Chamber",No necessary in-game text,"2012 Meeples' Choice Nominee, 2013 rets Spill Best Family Game Winner, 2013 Golden Geek Best Family Board Game Nominee, 2013 Golden Geek Best Innovative Board Game Nominee",15,Best with 4 players,8318,7.17,1.40,517654
Tinners' Trail,283,2008,"Action Point Allowance System, Auction/Bidding, Commodity Speculation, Dice Rolling","Economic, Industry / Manufacturing",Strategy Games,6090 minutes,13 and up,12 and up,None,No necessary in-game text,"2008 International Gamers Awards - General Strategy, Multi-player Nominee, 2009 Golden Geek Best Gamers' Board Game Nominee, 2010 Juego del Ao Finalist, 2011 Ludoteca Ideale Official Selection Winner",34,Best with 4 players,3155,7.36,1.16,189891
Spyfall,284,2014,"Acting, Memory, Partnerships","Bluffing, Card Game, Deduction, Humor",Party Games,15 minutes,12 and up,12 and up,"Spyfall: Cathedral promo cards, Spyfall: Ice Hockey Stadium promo cards, Spyfall: The Box Is Not Enough",Some necessary text - easily memorized or small crib sheet,"2014 Golden Geek Best Innovative Board Game Nominee, 2014 Golden Geek Best Party Board Game Nominee",38,Best with 6 players,2897,7.40,1.39,246961
Vasco da Gama,285,2009,"Card Drafting, Tile Placement, Worker Placement","Nautical, Renaissance",Strategy Games,60120 minutes,12 and up,12 and up,None,No necessary in-game text,"2009 Jogo do Ano Nominee, 2010 Deutscher Spiele Preis Best Family/Adult Game 2nd Place, 2010 International Gamers Awards - General Strategy, Multi-player Nominee, 2010 JUG Game of the Year Winner",24,Best with 4 players,3358,7.35,1.32,300428
Friedrich,286,2004,"Hand Management, Point to Point Movement, Secret Unit Deployment","Age of Reason, Wargame",Wargames,210 minutes,12 and up,12 and up,None,Some necessary text - easily memorized or small crib sheet,"2006 Games Magazine Best New Historical Simulation Game Winner, 2006 Golden Geek Best Wargame Nominee",34,Best with 4 players,1993,7.57,1.54,310013
Bohnanza,287,1997,"Hand Management, Set Collection, Trading","Card Game, Farming, Negotiation",Family Games,45 minutes,13 and up,8 and up,"Auf der schwb'schen Eisenbohn, Bohn Camillo, Bohnanza Erweiterungs-Set, Bohnanza Erweiterungs-Set (Revised Edition)",No necessary in-game text,"1997 Fairplay  la carte Winner, 1997 Meeples' Choice Award, 1997 Spiel des Jahres Recommended, 2003 Nederlandse Spellenprijs Nominee",27,Best with 5 players,23936,7.09,1.28,690570
Virgin Queen,288,2012,"Campaign / Battle Card Driven, Dice Rolling, Partnerships, Point to Point Movement","Negotiation, Pike and Shot, Political, Religious",Wargames,420 minutes,12 and up,14 and up,None,Extensive use of text - massive conversion needed to be playable,"2012 Charles S. Roberts Best Ancient to Napoleonic Era Board Wargame Nominee, 2012 Golden Geek Best Wargame Nominee",26,Best with 6 players,939,8.17,1.58,369870
Freedom: The Underground Railroad,289,2012,"Co-operative Play, Pick-up and Deliver, Point to Point Movement, Variable Player Powers","American Civil War, Economic, Educational, Political","Strategy Games, Thematic Games",60120 minutes,13 and up,10 and up,Freedom: The Underground Railroad  Promo Cards,Moderate in-game text - needs crib sheet or paste ups,"2013 Golden Geek Best Thematic Board Game Nominee, 2014 International Gamers Award - General Strategy: Multi-player Nominee, 2014 Origins Awards Best Historical Board Game Nominee",14,(Not best with any number),1533,7.70,1.25,179709
Dungeons & Dragons: The Legend of Drizzt Board Game,290,2011,"Co-operative Play, Dice Rolling, Grid Movement, Modular Board","Adventure, Exploration, Fantasy, Fighting",Thematic Games,60 minutes,12 and up,10 and up,"Castle Ravenloft: Gray Hag Promo, Dungeons & Dragons: The Legend of Drizzt Board Game - Vierna Do'Urden Promo, Wrath of Ashardalon: Kobold Champion Promo",Moderate in-game text - needs crib sheet or paste ups,None,15,Best with 34 players,3205,7.42,1.32,480424
Carcassonne: Hunters and Gatherers,291,2002,"Area Control / Area Influence, Tile Placement",Prehistoric,Family Games,3045 minutes,8 and up,8 and up,"Carcassonne: King & Scout, Carcassonne: Kreivi ja Kuningas, Die Steinmauer (Fan Expansion for Carcassonne: Die Jger und Sammler)",No necessary in-game text,None,25,Best with 23 players,8812,7.16,1.25,334847
Torres,292,1999,"Action Point Allowance System, Area Control / Area Influence, Area Enclosure, Grid Movement","Abstract Strategy, Medieval","Abstract Games, Strategy Games",60 minutes,12 and up,10 and up,None,No necessary in-game text,"2000 Games Magazine Game of the Year Winner, 2000 International Gamers Awards - General Strategy, Multi-player Nominee, 2000 Spiel des Jahres Nominee, 2000 Spiel des Jahres Winner",24,Best with 4 players,6440,7.20,1.27,375588
Sushi Go!,293,2013,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection",Card Game,Family Games,20 minutes,8 and up,6 and up,Sushi Go!: Soy Sauce Promo,No necessary in-game text,"2013 Golden Geek Best Card Game Nominee, 2013 Golden Geek Best Family Board Game Nominee, 2015 Nederlandse Spellenprijs Best Family Game Nominee, 2015 Origins Awards Best Card Game Nominee",25,Best with 4 players,7363,7.16,1.09,205949
Luna,294,2010,"Area Control / Area Influence, Modular Board, Point to Point Movement, Tile Placement","Fantasy, Religious",Strategy Games,60100 minutes,12 and up,12 and up,None,No necessary in-game text,"2010 Jogo do Ano Nominee, 2011 JoTa Best Light Board Game Nominee, 2011 Spiel des Jahres Recommended",14,Best with 4 players,2491,7.42,1.34,219737
Elysium,295,2015,"Card Drafting, Deck / Pool Building, Set Collection","Ancient, Card Game, Mythology",Strategy Games,60 minutes,14 and up,12 and up,None,Some necessary text - easily memorized or small crib sheet,"2015 International Gamers Award - General Strategy: Multi-player Nominee, 2015 Kennerspiel des Jahres Nominee",24,(Not best with any number),2100,7.51,1.19,206604
Homesteaders,296,2009,"Auction/Bidding, Worker Placement","American West, City Building, Economic",Strategy Games,90 minutes,12 and up,12 and up,None,Some necessary text - easily memorized or small crib sheet,2010 Golden Geek Best Strategy Board Game Nominee,24,Best with 4 players,2795,7.37,1.18,268914
Myrmes,297,2012,"Action Point Allowance System, Dice Rolling, Grid Movement, Route/Network Building","Animals, Environmental, Farming",Strategy Games,60120 minutes,13 and up,12 and up,Myrmes: Colony Tiles,No necessary in-game text,"2012 Meeples' Choice Nominee, 2012 Tric Trac d'Or, 2012 Tric Trac Nominee, 2013 As d'Or - Jeu de l'Anne Grand Prix Winner",24,Best with 4 players,2878,7.38,1.25,242501
Mr. Jack,298,2006,"Grid Movement, Variable Player Powers","Deduction, Murder/Mystery",Strategy Games,30 minutes,9 and up,10 and up,"Mr. Jack Extension, Mr. Jack: The Carriage",No necessary in-game text,"2006 Tric Trac Nominee, 2007 Golden Geek Best 2-Player Board Game Nominee, 2007 International Gamers Awards - General Strategy, Two-players, 2007 Nederlandse Spellenprijs Nominee",2,Best with 2 players,10249,7.12,1.23,481695
Star Wars: Armada,299,2015,"Action / Movement Programming, Dice Rolling, Variable Player Powers","Collectible Components, Miniatures, Science Fiction, Wargame","Thematic Games, Wargames",120 minutes,14 and up,10 and up,"Star Wars: Armada - Home One Expansion Pack, Star Wars: Armada  Assault Frigate Mark II Expansion Pack, Star Wars: Armada  CR90 Corellian Corvette Expansion Pack, Star Wars: Armada  Gladiator-class Star Destroyer Expansion Pack",Moderate in-game text - needs crib sheet or paste ups,2015 International Gamers Award - General Strategy: Two-players Nominee,2,Best with 2 players,982,8.23,1.36,401873
Colosseum,300,2007,"Auction/Bidding, Dice Rolling, Roll / Spin and Move, Set Collection","Ancient, Negotiation","Family Games, Strategy Games",6090 minutes,10 and up,10 and up,None,No necessary in-game text,"2007 Golden Geek Best Board Game Artwork/Presentation Nominee, 2007 Golden Geek Best Family Board Game Nominee, 2007 Golden Geek Best Gamer's Board Game Nominee, 2007 International Gamers Awards - General Strategy, Multi-player Nominee",35,Best with 5 players,6168,7.18,1.23,339497
Quantum,301,2013,"Area Control / Area Influence, Dice Rolling, Grid Movement, Modular Board","Civilization, Dice, Science Fiction, Space Exploration","Abstract Games, Strategy Games",60 minutes,13 and up,10 and up,Quantum: The Void,Moderate in-game text - needs crib sheet or paste ups,None,24,Best with 4 players,2643,7.41,1.37,229504
Union Pacific,302,1999,"Card Drafting, Route/Network Building, Stock Holding","Economic, Trains",Strategy Games,90 minutes,12 and up,10 and up,None,No necessary in-game text,"1999 Deutscher Spiele Preis Best Family/Adult Game 3rd Place, 1999 Essener Feder Best Written Rules Winner, 1999 Meeples' Choice Award, 1999 Spiel des Jahres Nominee",26,Best with 45 players,3740,7.27,1.31,223032
Thunderstone: Dragonspire,303,2011,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Fantasy","Strategy Games, Thematic Games",45 minutes,12 and up,10 and up,"Thunderstone Avatars, Thunderstone: Doomgate Legion, Thunderstone: Heart of Doom, Thunderstone: Promo Pack",Moderate in-game text - needs crib sheet or paste ups,"2011 Golden Geek Best Board Game Expansion Nominee, 2011 Golden Geek Best Card Game Nominee",15,Best with 23 players,2284,7.47,1.46,181270
Heroscape Master Set: Swarm of the Marro,304,2007,"Dice Rolling, Modular Board","Adventure, Fantasy, Fighting, Miniatures","Customizable Games, Thematic Games",60 minutes,8 and up,8 and up,"Heroscape Expansion Set D1: Champions of the Forgotten Realms, Heroscape Expansion Set D2: Warriors of Eberron, Heroscape Expansion Set D3: Moltenclaw's Invasion, Heroscape Expansion Set: Aquilla's Alliance",Moderate in-game text - needs crib sheet or paste ups,2008 Golden Geek Best Children's Board Game Nominee,24,Best with 2 players,1836,7.62,1.36,138716
Eminent Domain,305,2011,"Card Drafting, Deck / Pool Building, Hand Management, Variable Phase Order","Card Game, Civilization, Science Fiction, Space Exploration",Strategy Games,45 minutes,10 and up,10 and up,"Eminent Domain: Bonus Planets, Eminent Domain: Cygnus Planet Promo, Eminent Domain: Elusive/Exclusive Victory Promo, Eminent Domain: Escalation",Moderate in-game text - needs crib sheet or paste ups,"2012 Golden Geek Best Card Game Nominee, 2012 JoTa Best Family Board Game Nominee, 2013 Fairplay  la carte Winner",24,Best with 3 players,6040,7.17,1.31,535519
Yspahan,306,2006,"Area Control / Area Influence, Dice Rolling","Arabian, Dice, Economic","Family Games, Strategy Games",4560 minutes,8 and up,10 and up,"Yspahan: The Souks, Ystari Box",No necessary in-game text,"2006 Meeples' Choice Award, 2006 Tric Trac d'Or, 2006 Tric Trac Nominee, 2007 Golden Geek Best Family Board Game Nominee",24,Best with 34 players,6593,7.16,1.18,312307
D-Day at Omaha Beach,307,2009,"Hex-and-Counter, Secret Unit Deployment, Simulation","Wargame, World War II",Wargames,480 minutes,12 and up,12 and up,None,Moderate in-game text - needs crib sheet or paste ups,"2009 Charles S. Roberts Best World War 2 Era Board Wargame Nominee, 2009 Charles S. Roberts Best World War 2 Era Board Wargame Winner, 2010 Golden Geek Best Wargame Nominee",12,Best with 1 players,833,8.31,1.40,351865
Stronghold,308,2009,"Action Point Allowance System, Area Control / Area Influence, Point to Point Movement, Variable Player Powers","Fantasy, Fighting, Medieval",Strategy Games,120 minutes,10 and up,14 and up,"Stronghold: Heroes, Stronghold: Undead",No necessary in-game text,"2010 Golden Geek Best 2-Player Board Game Nominee, 2010 Golden Geek Best Wargame Nominee, 2010 International Gamers Award - General Strategy: Two-players, 2010 JoTa Best Artwork Nominee",24,Best with 2 players,2858,7.36,1.39,745392
Genoa,309,2001,"Auction/Bidding, Dice Rolling, Grid Movement, Pick-up and Deliver","Negotiation, Renaissance",Strategy Games,60120 minutes,12 and up,12 and up,None,Some necessary text - easily memorized or small crib sheet,"2001 Deutscher Spiele Preis Best Family/Adult Game 3rd Place, 2001 Spiel des Jahres Recommended, 2002 International Gamers Awards - General Strategy, Multi-player Nominee, 2010 Vuoden Peli Adult Game of the Year Nominee",25,Best with 5 players,5204,7.21,1.39,345776
Madeira,310,2013,"Card Drafting, Dice Rolling, Modular Board, Worker Placement","City Building, Dice, Economic, Exploration",Strategy Games,120 minutes,12 and up,14 and up,"Madeira: The Ambassadors, Madeira: The Harvester",No necessary in-game text,2013 Meeples' Choice Nominee,24,Best with 4 players,1555,7.67,1.46,241459
Tribune: Primus Inter Pares,311,2007,"Auction/Bidding, Card Drafting, Hand Management, Set Collection","Ancient, Political",Strategy Games,60 minutes,12 and up,12 and up,Tribune Expansion,Moderate in-game text - needs crib sheet or paste ups,"2007 Jogo do Ano Nominee, 2008 Golden Geek Best Gamer's Board Game Nominee, 2008 International Gamers Awards - General Strategy, Multi-player Nominee, 2008 Ludoteca Ideale Official Selection",25,Best with 4 players,3642,7.28,1.19,226004
Bridge,312,1925,"Auction/Bidding, Betting/Wagering, Hand Management, Memory",Card Game,"Abstract Games, Strategy Games",60 minutes,12 and up,10 and up,Draw-Bridge,No necessary in-game text,None,4,Best with 4 players,2363,7.46,2.01,95791
Tobago,313,2009,"Grid Movement, Hand Management, Modular Board, Press Your Luck","Adventure, Exploration",Family Games,60 minutes,13 and up,8 and up,None,No necessary in-game text,"2010 As d'Or - Jeu de l'Anne Nominee, 2010 Boardgames Australia Awards Best International Game Nominee, 2010 Golden Geek Best Family Board Game Nominee, 2010 Golden Geek Best Family Board Game Winner",24,Best with 4 players,6996,7.13,1.15,394443
Chinatown,314,1999,"Set Collection, Tile Placement, Trading","City Building, Economic, Negotiation","Family Games, Strategy Games",60 minutes,12 and up,10 and up,None,No necessary in-game text,"1999 Spiel des Jahres Recommended, 2000 International Gamers Awards - General Strategy, Multi-player Nominee, 2008 rets Spill Best Family Game Nominee",35,Best with 5 players,4801,7.20,1.30,293011
Squad Leader,315,1977,"Dice Rolling, Hex-and-Counter, Modular Board, Simulation","Wargame, World War II",Wargames,60 minutes,14 and up,14 and up,"Blood & Sand: Pacific Variant for Squad Leader, Crescendo of Doom, Cross of Iron, G.I. Anvil of Victory",Extensive use of text - massive conversion needed to be playable,"1977 Charles S. Roberts Best Tactical Game Winner, 1977 Charles S. Roberts Best Tactical Nominee, 2003 Origins Awards Hall of Fame Inductee",2,Best with 2 players,2466,7.46,1.55,242140
Colt Express,316,2014,"Action / Movement Programming, Hand Management, Memory, Modular Board","American West, Fighting, Trains",Family Games,3040 minutes,10 and up,8 and up,"Brettspiel Adventskalender 2015, Colt Express: Horses & Stagecoach, Colt Express: The Time Travel Car",No necessary in-game text,"2014 Golden Geek Best Board Game Artwork & Presentation Nominee, 2014 Golden Geek Best Family Board Game Nominee, 2014 Golden Geek Best Innovative Board Game Nominee, 2014 Golden Geek Best Thematic Board Game Nominee",26,Best with 56 players,4224,7.25,1.17,219778
Formula D,317,2008,"Dice Rolling, Grid Movement, Player Elimination, Press Your Luck","Racing, Sports","Family Games, Thematic Games",60 minutes,8 and up,8 and up,"Formula D: Catalina Santana Promo, Formula D: Circuits 1  Sebring & Chicago, Formula D: Circuits 2  Hockenheim and Valencia, Formula D: Circuits 3  Singapore & The Docks",No necessary in-game text,"2008 Lucca Games Best Family Game, 2009 Golden Geek Best Board Game Artwork/Presentation Nominee, 2009 Golden Geek Best Family Board Game Nominee, 2009 Golden Geek Best Party Board Game Nominee",210,Best with 58 players,9403,7.10,1.29,557783
Alhambra,318,2003,"Card Drafting, Hand Management, Set Collection, Tile Placement","Arabian, City Building, Medieval","Family Games, Strategy Games",4560 minutes,8 and up,8 and up,"Alhambra: Medina Buildings, Alhambra: Power of the Sultan, Alhambra: The City Gates, Alhambra: The Falconers",No necessary in-game text,"2003 Deutscher Spiele Preis Best Family/Adult Game 2nd Place, 2003 Essener Feder Best Written Rules Winner, 2003 International Gamers Awards - General Strategy, Multi-player Nominee, 2003 Spiel des Jahres Nominee",26,Best with 3 players,17727,7.05,1.20,692429
Conflict of Heroes: Storms of Steel!  Kursk 1943,319,2009,"Action Point Allowance System, Dice Rolling, Hex-and-Counter, Modular Board","Wargame, World War II",Wargames,120 minutes,12 and up,12 and up,"Conflict of Heroes: Duty-Bound, Conflict of Heroes: Monster Tanks of the Eastern Front, Conflict of Heroes: Price of Honour  Poland 1939, Conflict of Heroes: Wrecks and Destruction on the Eastern Front",Moderate in-game text - needs crib sheet or paste ups,"2009 Golden Geek Best Wargame Nominee, 2009 Origins Awards Best Historical Board Game Winner, 2010 Golden Geek Best Wargame Nominee",14,Best with 2 players,1277,7.82,1.52,378282
Taluva,320,2006,"Modular Board, Tile Placement","City Building, Territory Building","Abstract Games, Strategy Games",45 minutes,8 and up,10 and up,None,No necessary in-game text,"2007 Golden Geek Best 2-Player Board Game Nominee, 2007 Golden Geek Best Board Game Artwork/Presentation Nominee, 2007 Golden Geek Best Family Board Game Nominee, 2007 Tric Trac Nominee",24,Best with 2 players,5224,7.18,1.26,295085
World Without End,321,2009,Hand Management,"Economic, Medieval, Novel-based, Religious",Strategy Games,90120 minutes,12 and up,12 and up,None,Moderate in-game text - needs crib sheet or paste ups,"2010 Deutscher Spiele Preis Best Family/Adult Game 3rd Place, 2010 International Gamers Awards - General Strategy, Multi-player Nominee, 2010 Juego del Ao Finalist, 2010 Lys Passion Finalist",24,Best with 4 players,3185,7.31,1.27,222952
Spyrium,322,2013,Worker Placement,"City Building, Economic, Industry / Manufacturing, Science Fiction",Strategy Games,75 minutes,12 and up,12 and up,None,No necessary in-game text,"2013 Meeples' Choice Nominee, 2014 International Gamers Award - General Strategy: Multi-player Nominee, 2014 Tric Trac Nominee",25,Best with 4 players,3563,7.25,1.08,239561
ZRTZ,323,1999,"Grid Movement, Set Collection",Abstract Strategy,Abstract Games,30 minutes,9 and up,8 and up,GIPF Project Set 2,No necessary in-game text,"2000 Mensa Select Winner, 2000 Spiel des Jahres Recommended, 2001 International Gamers Award - General Strategy: Two-players",2,Best with 2 players,3010,7.32,1.32,167392
Ascension: Storm of Souls,324,2011,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Fantasy",Strategy Games,30 minutes,13 and up,10 and up,"Ascension: Archival Expert Promo, Ascension: Cetra, Benefactor of All Promo, Ascension: Chronicle of the Godslayer  Big Bad Bunny Promo, Ascension: Chronicle of the Godslayer  Constricting Horror Promo",Moderate in-game text - needs crib sheet or paste ups,2012 Golden Geek Best Board Game Expansion Nominee,14,Best with 2 players,2308,7.45,1.34,103642
Reef Encounter,325,2004,"Area Control / Area Influence, Card Drafting, Commodity Speculation, Hand Management","Animals, Environmental, Territory Building",Strategy Games,60120 minutes,10 and up,12 and up,Reef Encounter of the Second Kind,No necessary in-game text,"2005 International Gamers Awards - General Strategy, Multi-player Nominee, 2006 Golden Geek Best Gamer's Board Game Nominee, 2006 Nederlandse Spellenprijs Nominee, 2006 Tric Trac Nominee",24,Best with 3 players,4388,7.19,1.40,300405
Through the Desert,326,1998,"Area Enclosure, Route/Network Building","Abstract Strategy, Animals, Arabian","Abstract Games, Strategy Games",45 minutes,10 and up,8 and up,None,No necessary in-game text,"1998 Meeples' Choice Award, 1998 Spiel des Jahres Recommended, 2006 Nederlandse Spellenprijs Nominee, 2007 As d'Or - Jeu de l'Anne Nominee",25,Best with 3 players,9959,7.07,1.23,414039
Web of Power,327,2000,"Area Control / Area Influence, Card Drafting, Hand Management, Route/Network Building","Medieval, Territory Building",Strategy Games,5060 minutes,12 and up,10 and up,"China: AD 850, China: Greece, China: Mars, China: North America",No necessary in-game text,"2000 Spiel des Jahres Recommended, 2001 International Gamers Awards - General Strategy, Multi-player Nominee, 2001 Nederlandse Spellenprijs Nominee",35,Best with 3 players,2911,7.33,1.34,206716
Core Worlds,328,2011,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Civilization, Science Fiction, Space Exploration",Strategy Games,90 minutes,10 and up,12 and up,"Core Worlds: Dice Tower Season 11 Kickstarter Promo, Core Worlds: Galactic Orders, Core Worlds: Galactic Orders Promo Pack, Core Worlds: Revolution",Extensive use of text - massive conversion needed to be playable,2012 Golden Geek Best Card Game Nominee,25,Best with 3 players,2793,7.32,1.27,342825
Abyss,329,2014,"Auction/Bidding, Card Drafting, Hand Management, Press Your Luck","Card Game, Mythology, Science Fiction",Strategy Games,3060 minutes,14 and up,10 and up,"Abyss: Angler Promo, Abyss: Kraken, Brettspiel Adventskalender 2015",Moderate in-game text - needs crib sheet or paste ups,"2014 Golden Geek Best Board Game Artwork & Presentation Nominee, 2014 Golden Geek Best Board Game Artwork & Presentation Winner, 2014 Golden Geek Best Card Game Nominee, 2014 Tric Trac Nominee",24,Best with 4 players,2813,7.35,1.21,216563
Space Empires: 4X,330,2011,"Dice Rolling, Hex-and-Counter, Secret Unit Deployment","Bluffing, Science Fiction, Space Exploration, Wargame",Wargames,180 minutes,12 and up,12 and up,"Space Empires: Close Encounters, Space Empires: Replicators",Some necessary text - easily memorized or small crib sheet,"2011 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Nominee, 2011 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Winner, 2011 Golden Geek Best Wargame Nominee",14,Best with 2 players,1732,7.58,1.50,527954
K2,331,2010,"Hand Management, Player Elimination, Point to Point Movement, Simultaneous Action Selection","Exploration, Sports","Family Games, Thematic Games",60 minutes,13 and up,10 and up,"K2: Broad Peak, K2: The Avalanche",No necessary in-game text,"2011 Golden Geek Best Family Board Game Nominee, 2011 Gra Roku Game of the Year Nominee, 2011 International Gamers Award - General Strategy, Multi-player Nominee, 2011 Japan Boardgame Prize Voters' Selection Nominee",15,Best with 34 players,5091,7.17,1.22,315492
Shipyard,332,2009,"Card Drafting, Modular Board, Set Collection, Tile Placement","Economic, Industry / Manufacturing, Nautical",Strategy Games,120 minutes,11 and up,12 and up,None,No necessary in-game text,"2010 International Gamers Awards - General Strategy, Multi-player Nominee, 2010 JoTa Best Heavy Board Game Nominee",24,(Not best with any number),2441,7.36,1.33,237255
Yedo,333,2012,"Auction/Bidding, Set Collection, Worker Placement",Medieval,"Strategy Games, Thematic Games",150 minutes,14 and up,12 and up,Yedo: Sakoku,Moderate in-game text - needs crib sheet or paste ups,None,25,Best with 4 players,1862,7.54,1.47,236190
Evolution,334,2014,"Action Point Allowance System, Hand Management, Press Your Luck, Secret Unit Deployment","Animals, Card Game, Educational, Environmental",Strategy Games,5070 minutes,10 and up,10 and up,"Evolution: Climate, Evolution: Flight, Evolution: Kickstarter Stretch Goal Pack, Evolution: Promo Pack II",Moderate in-game text - needs crib sheet or paste ups,"2014 Golden Geek Best Board Game Artwork & Presentation Nominee, 2014 Golden Geek Best Family Board Game Nominee, 2014 Golden Geek Best Thematic Board Game Nominee",26,Best with 4 players,2758,7.35,1.25,270436
Ca$h 'n Guns (second edition),335,2014,"Player Elimination, Simultaneous Action Selection, Take That, Variable Player Powers","Bluffing, Fighting, Humor, Mafia",Party Games,30 minutes,10 and up,10 and up,"Ca$h 'n Guns (second edition) Expansion: The Cop, Ca$h 'n Guns (second edition): The Blackmailer, Ca$h 'n Guns: More Cash 'n More Guns",Some necessary text - easily memorized or small crib sheet,"2014 Golden Geek Best Party Board Game Nominee, 2014 Golden Geek Best Party Board Game Winner, 2015 Origins Awards Best Board Game Nominee",48,Best with 68 players,3409,7.26,1.14,106797
The Downfall of Pompeii,336,2004,"Grid Movement, Hand Management, Tile Placement",Ancient,Family Games,45 minutes,10 and up,8 and up,"The Downfall of Pompeii: The Dancing Flames, Mayfair Games' Limited Edition Promo Expansion Set #7",No necessary in-game text,2006 Games Magazine Best New Family Game Winner,24,Best with 4 players,5158,7.15,1.11,260857
Lords of Vegas,337,2010,"Area Control / Area Influence, Dice Rolling, Tile Placement, Trading","City Building, Economic","Strategy Games, Thematic Games",60 minutes,12 and up,12 and up,"Lords of Vegas: Mob Rules & Union of the Shakes, Lords of Vegas: Sky Bridge / Building Boom, Lords of Vegas: UP!, Mayfair Game Variants & Mini-Expansions Set #1",No necessary in-game text,"2010 Origins Awards Best Board Game Nominee, 2011 Juego del Ao Tico Nominee",24,Best with 4 players,3033,7.29,1.38,174572
